蝴蝶刀（★） | 北方森林,37036,44771
蝴蝶刀（★） | 渐变大理石,34967,51818
蝴蝶刀（★） | 渐变之色,1980,51995
蝴蝶刀（★） | 屠夫,3109,56306
蝴蝶刀（★） | 虎牙,44458,50826
蝴蝶刀（★） | 人工染色,48853,59902
蝴蝶刀（★） | 澄澈之水,62032,62022
蝴蝶刀（★） | 传说,100350,102267
蝴蝶刀（★） | 伽马多普勒,62272,62273
蝴蝶刀（★） | 多普勒,45985,54680
蝴蝶刀（★） | 自由之手,62039,100345
蝴蝶刀（★） | 黑色层压板,100347,101635
蝴蝶刀（★） | 大马士革钢,48594,55636
蝴蝶刀（★） | 屠夫,3109,56306
蝴蝶刀（★） | 自动化,100369,100409
蝴蝶刀（★） | 表面淬火,51930,57667
蝴蝶刀（★） | 蓝钢 ,46503,55078
蝴蝶刀（★） | 深红之网,56407,103498
蝴蝶刀（★） | 森林 DDPAT,57046,103444
蝴蝶刀（★） | 枯焦之色,51158,59895
蝴蝶刀（★） | 狩猎网格,58299,59900
蝴蝶刀（★） | 致命紫罗兰,56732,109454
蝴蝶刀（★） | 噩梦之夜,56211,57874
蝴蝶刀（★） | 都市伪装,52654,104404
蝴蝶刀（★） | 外表生锈,54396,57750
